Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19904.94341,19997.2294,19767.65233,20597.64431,21607.25165,22455.04559,22470.26841,23587.40829,24355.41154,25531.2885,26829.52862,26975.44556,27519.72268,27812.09599,28230.72647,28257.95551,28700.28501,29398.99989,29318.71186,30178.35571,30717.75614,31251.76831,31735.93923,30608.22944,31631.63089,32860.65131,33673.19339,34014.71982,35388.13037,36143.63528,36887.25166,36280.98346,36030.48625,37155.98431,38264.38162,39309.99466,40336.29915,41463.64566,42966.7934,44636.02425,45858.58009,46190.38121,47485.34109,48393.13672,49901.0153,50852.1612,51552.89383,52530.70189,53335.0057,53235.92358,53581.15858,54114.72619,55261.91838,55734.57434,56341.13415,56758.8692,57432.18029,57804.05091,58600.79036,59000.73544,58082.42658,59225.52454,60972.87034,61340.71048
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11960.95751,12554.30679,12808.08829,13252.71674,13970.92599,14363.5108,15067.96617,15405.64076,16011.27376,16957.45933,18101.99195,18943.18115,20002.55611,20864.84746,21650.4868,21629.0463,22659.31778,23801.26754,23770.36624,25086.40019,25520.74056,25419.00965,25911.66094,26725.19072,26740.57724,27395.87265,28008.55459,28370.71788,29264.32358,30265.19323,31340.68129,32097.24109,32410.53977,32313.71187,32962.81742,33790.48499,34537.73957,35220.88774,36442.28823,37664.94328,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46616.35917,43343.9719,44984.41974,46697.85652,45851.72488
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.840103,2764.073993,2107.296784,1596.132666,1264.527189,1102.49789,1105.587242,1158.481658,1262.291887,1343.855939,1480.808691,1614.848858,1754.135241,1918.611037,2077.88527,2631.851453,3501.164825,4327.113605,4693.07708,5023.967291,5215.204154,5152.838502,5194.920917,5426.095942,5506.181696,5500.503646,5270.738166,5229.70989,5262.368705,5348.453189,5083.560254,5345.439864,5595.255787,5674.483477
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,290.7332323,244.5934102,260.1623828,265.3398634,274.07449,277.1879515,283.1420824,314.2932545,306.0751423,295.2636046,350.7127782,351.8723507,329.603111,353.0736506,342.0242097,336.2171918,355.185954,386.191748,371.9538718,369.1874239,357.6831341,385.2952784,371.997224,375.6770064,367.2662326,401.7672068,407.1173264,419.856054,431.4372981,428.9714153,435.070943,447.7448573,440.5918567,427.068998,408.4193162,354.1161809,325.9119164,321.0896907,330.1289307,319.1358008,310.0067109,308.645199,313.4864059,300.086153,303.11967,294.7387734,299.7691208,298.9366604,300.8413492,296.8470949,297.7917271,299.0171757,301.4813193,305.2908352,307.7655313,289.3596272,282.9759666,277.9598031,274.1319085,270.1372774,263.3609887,264.3648329,262.1848047,262.1657056
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11649.3696,12188.76537,12773.09899,13229.6547,14016.7053,14384.56597,14738.63666,15223.77005,15799.9965,16799.8651,17849.49471,18527.14874,19432.03103,20607.18091,21480.26132,20997.20683,22144.52361,22255.68441,22866.82323,23381.12724,24393.29818,24325.81328,24477.19988,24555.48097,25161.49098,25569.48933,26026.2805,26603.9281,27772.05205,28631.31909,29441.66215,29870.14777,30204.56375,29797.40632,30664.30785,31329.89207,31681.93636,32804.36054,33376.57484,34479.90645,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43098.47506,40636.80662,43273.6357,44198.196,44283.20771
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,657.2189415,667.5197086,634.185933,652.9089598,684.006879,706.9956759,718.4122418,712.090361,724.8012367,730.5617468,730.5233476,704.458103,733.5709843,744.0288108,751.6637186,698.4851507,688.0399097,704.7878625,695.8809954,722.3994963,750.9600069,803.165084,798.2682395,742.1193271,778.2914483,812.9483203,806.5404338,771.1611554,773.8469744,729.408784,771.0758639,779.423309,778.2552682,787.8191187,774.2629218,804.3503329,817.8497352,839.9516966,847.0744874,865.4525624,888.7301846,908.347703,922.4176387,925.8492611,938.0381781,924.2695241,931.7691409,959.5549934,977.3031632,970.9659689,962.8161095,962.7445897,980.0746132,1020.528234,1054.108767,1041.652523,1045.150937,1072.362032,1111.227247,1153.72621,1164.708967,1214.07759,1255.607293,1300.320002
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,243.9305055,250.1562781,261.6243272,254.473938,256.3122977,261.7424614,258.8898774,277.0913121,280.7802494,281.6063659,277.1168308,276.3004481,277.9398729,274.346714,291.6305029,294.4878718,312.9275781,306.9005645,313.1738205,316.3701108,310.4725769,315.0163427,335.8013182,327.5955605,312.62417,329.5699937,345.8774314,335.7669346,345.8485632,344.0903665,333.1715948,354.3218884,346.507269,349.7019761,345.4817026,355.9879411,385.2291999,399.1849998,416.7416997,434.6583922,429.8473722,444.5497549,449.8539312,470.1295825,476.0099809,501.2072502,516.1767677,521.3452592,535.5836447,535.5168345,563.9267767,583.6794771,602.7867588,618.8045832,626.6262508,632.1266858,650.4172609,671.2517963,696.0445708,717.3745338,712.3849501,741.8926162,735.9981319,738.9565342
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,441.6019071,454.9374088,465.5768904,449.7220701,484.2109246,477.475449,475.3876793,452.6555082,480.9640515,473.0050991,487.1981593,454.8830525,385.8424551,388.5982522,415.3464997,389.0202113,402.0044544,403.4654499,421.9100402,431.9085151,424.9578714,443.9300085,441.1143266,445.701231,454.6807797,458.0026338,465.888758,472.7905848,473.8473461,477.0457244,493.2670422,500.6683697,518.2905372,532.4383458,542.6436305,559.8844252,575.0362965,590.2085553,609.2259594,625.5819529,646.2630726,666.30005,679.1042676,698.9757721,723.480068,759.1546401,800.0604028,847.5774423,890.6066627,927.3413894,967.8985228,1017.982634,1070.96854,1121.076179,1174.302401,1236.435456,1308.188406,1377.083562,1460.813516,1558.507797,1593.903088,1685.020935,1785.361317,1869.163933
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3431.521297,3587.694781,3660.607292,3776.740823,3895.889721,4000.492544,4169.923055,4415.890658,4893.694038,4788.396879,4431.028876,4097.19211,3840.246382,3813.702078,3896.244277,4025.645827,4257.0951,3678.516598,3843.4622,3540.55608,3721.303491,3941.275691,4264.271701,4523.286223,4854.273387,5236.086372,5634.911209,6054.232485,6470.589734,6294.433392,6434.552431,6611.303845,6699.503001,6700.535988,6802.710324,7078.860323,7344.443503,7601.438474,7862.86183,8237.926783,7958.82684,8638.718376,9550.94255,9779.822064
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,16762.14779,16409.4612,17315.47069,18689.62907,19224.67049,16635.55898,20625.55603,22180.02092,21952.40826,21679.83539,21264.15504,19342.24689,17259.38856,17736.00395,17981.7408,16528.48619,16136.29388,17189.3101,17754.33069,17213.10838,17383.98511,18686.25506,19251.22907,20998.51499,20257.56721,20377.699,20550.626,20540.68016,20889.5171,21169.23208,21686.21806,21653.74921,21838.53735,22320.7854,22297.61286,21999.6165,21756.44308,21986.06069,21890.42781,21131.17267,21425.92944,21879.18334,22456.56436,22983.75374,23078.88215,22850.6654,22847.34604,22950.21214,22994.15207,23384.75929,22550.95264,23359.68821,24353.07326,24734.34207
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19087.68225,20119.39557,21150.96241,22260.56837,23508.95883,24873.115,25968.91048,27224.72544,28222.51408,29459.55365,26804.59592,26456.89247,24891.09246,26168.59967,21321.17732,17794.80441,18334.69451,19591.34947,21903.02146,27073.0461,28274.09095,25192.08332,26391.00017,26830.78627,30051.26315,30891.6184,30836.24748,31158.49661,31286.50669,32757.24284,31616.77036,29704.33314,27968.69383,27452.04611,27754.67927,28432.56814,29110.69441,28987.63199,29851.85687,31497.7543,32325.79221,32710.50348,33155.15203,32301.72722,32149.93406,32791.13127,33153.08937,33162.16158,31933.65483,30162.80495,30199.01879,30008.11614,30575.16132,29423.30362,29698.75832,29722.40684,29192.74645,29781.06581,30344.7996,29736.79422,23256.11606,26743.87403,29477.23585,30061.65465
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.1736979,708.6889542,698.2206405,740.6276868,862.5946046,1003.48439,1485.109366,1959.085062,2247.243998,2438.723493,2554.564127,2606.750388,2735.535289,2851.273553,3061.551427,3218.594203,3423.123984,3669.016795,3932.015323,3878.440467,3980.442307,4091.581885,4133.902724,4297.493496,4403.673915,4654.60862,4865.351291,5082.997254,5339.477068,5558.08144,5459.219629,5947.725703,6270.858487,6421.007144
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.53984,2854.536227,2574.837815,2373.903393,2098.635644,1886.487655,1945.849499,2176.704154,2370.199319,2461.840201,2616.927182,2754.679408,2912.139153,3139.138008,3522.508951,3880.03541,4294.251954,4685.005695,5180.740438,5203.883103,5621.967658,5938.252882,6047.903925,6110.937801,6212.935779,5967.06856,5811.25054,5964.914363,6165.957887,6267.765139,6252.008819,6457.75127,6206.648855,6482.820333
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1558.791461,1593.999864,1629.731855,1664.242945,1697.487597,1729.092008,1757.536191,1788.459135,1863.126615,1903.235521,1949.201706,1990.392287,2159.340427,2242.254975,2511.758459,2558.615277,2506.578801,2616.261191,2767.602839,2915.007914,3231.273713,3188.146526,3108.547259,2970.89337,2959.909143,2921.91687,2985.952707,3233.230078,3471.778362,3838.284269,4112.335135,4501.236626,4972.206393,5171.997426,5060.49018,4968.793189,4873.270304,4909.383085,4923.842544,5206.651843,5657.456684,5755.757007,5879.604207,6252.220718,6355.399593,6305.35056,6399.145911,6422.304327,6147.690927,5954.405582,5879.733301,5729.992057,5807.263053,5930.732391,6034.402196,6098.60008,5974.37917,5750.503569,5699.062802,5833.173562,4957.943868,5768.908388,6191.662837,6385.373584
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37935.8868,38751.23323,39527.7963,39029.44774,42301.43241,43253.54393,48593.39054,53985.64048,54082.13914,54904.69426,57309.15837,59713.44026,61244.53704,62615.31535,63637.71536,66534.04059,72208.73162,76180.80129,76999.15781,78360.68704,83239.53461,84633.16048,79583.13396,80483.73501,80164.5663,77902.65419,82395.27318,84794.99688,87481.3788,87131.94941,86436.23431,83812.1328,84371.03566,86444.67822,86361.95281,89518.27764,91261.15148,94878.49225,97857.32328,100602.9275,109001.586,115619.4747,113172.1206,116268.8169,118193.1487,119396.4494,125294.9594,128757.8807,125610.0334,117886.738,115839.796,112471.3475,106119.795,105492.4807,101374.4698,102005.6256,102407.3944,107237.0318,106697.7375,107036.2393,99739.97988,105357.7012,112431.3841,
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1275.17751,1275.255664,1318.736794,1379.257393,1404.030314,1442.2216,1513.080243,1574.507107,1672.215899,1709.316316,1759.665165,1808.314082,1909.408774,1974.330122,1987.16265,2085.031682,2132.759011,2188.880465,2184.048699,2138.528355,2062.969046,2023.879744,1902.585892,1787.052727,1746.009487,1680.794018,1603.296965,1608.403557,1620.501037,1646.809164,1687.442724,1739.85461,1732.739116,1770.776899,1817.473402,1866.652933,1912.002259,1970.168081,2031.972206,2003.861308,2017.394609,2015.377479,2029.617944,2048.559818,2097.258353,2152.36197,2216.544709,2277.503826,2376.078089,2414.129945,2471.473633,2556.830269,2643.690816,2777.720532,2882.806896,2975.648811,3054.892548,3135.031646,3219.200892,3242.948845,2920.197447,3061.899295,3134.766321,3168.731901
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2578.429025,2717.001627,2811.627433,2746.51375,2758.863289,2746.258042,2850.901346,2892.684245,3095.221911,3304.856271,3558.852333,3866.38544,4224.196161,4699.439689,4962.922366,5097.708332,5489.980064,5626.716996,5768.426216,6014.867353,6415.637813,6001.64499,5914.565078,5613.611519,5788.087171,6110.358401,6433.497982,6528.623469,6399.484368,6479.069096,6086.077553,6043.432634,5911.687023,6103.377215,6358.678787,6524.518853,6567.352461,6689.199377,6613.983181,6551.226671,6745.857771,6749.881603,6868.695907,6865.17325,7178.347485,7325.90355,7534.5425,7909.825247,8231.100373,8142.761048,8673.898383,8935.277314,9025.313996,9216.13228,9183.459727,8783.215424,8426.843221,8470.940604,8553.865902,8592.211207,8255.568013,8603.152214,8822.045043,9032.113614
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6385.076182,6842.725859,7426.78621,7018.360814,7339.779617,8149.479251,8447.302314,9316.704726,9933.894497,10650.1779,11624.14979,12031.47202,12129.27516,12232.35302,11606.13684,11328.52855,11762.0689,12126.79634,12650.01324,13576.81196,14101.18393,13773.06054,13048.96731,13070.25292,13500.09458,13614.91327,14284.41939,14638.43343,15145.24265,15690.65329,15165.28205,14543.84873,13673.24151,13740.33379,13978.22133,14227.61353,14765.78783,15440.37792,15990.67378,16012.11971,16693.43453,16254.33734,16316.0461,16605.93466,16777.24858,17377.95656,18368.27512,18679.79719,18716.00723,17701.91559,17251.36983,17069.96405,16983.60811,16720.08246,16672.51917,17040.41761,17439.90805,17495.90041,17334.21314,17369.50997,15163.66721,14957.23472,16947.38221,17690.19648
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,43472.23371,42167.82688,49005.99506,52604.30875,54378.18829,64531.89095,58110.13281,45105.92141,45364.20248,44077.33344,42863.07905,40810.34863,38372.6178,37843.18985,37010.27183,35445.47514,34722.5917,34762.23475,35424.54698,34621.76833,34827.33404,35515.84325,35690.98458,34377.85758,33445.12083,33739.49374,33985.81548,34219.3106,34857.3932,35202.78909,34750.57363,34290.11077,35213.21843,34714.54022,33526.00264,32449.83033,32810.50364,33577.06043,33456.26529,32341.88901,31155.74411,30681.43397,29601.0965,29695.88082,29437.86518,30313.41386,30401.84383,29673.16588,28954.06409,29132.94685
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,418.5410826,415.9101905,407.1803203,399.7847674,406.7871267,380.5743144,401.1588059,418.7467699,433.9633689,440.0609075,447.4199741,498.9971431,500.3335328,535.7647396,543.3401517,548.4735528,593.0583113,743.2190198,756.5374245,789.563035,849.3312641,832.0580693,905.0393629,967.509021,1014.593209,1073.442415,1112.187211,1151.871915,1197.487908,1261.736336,1268.053762,1324.822304,1425.805804,1499.100579,1539.150982,1612.811736,1678.640208,1925.094467,1988.591981,2116.697405,2342.937552,2509.779725,2609.084821,2624.17568,2746.086854,2899.228294,3115.587912,3197.743747,3283.775667,3448.49419,3075.885565,3191.308829,3336.376299,
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,396.3960229,412.2657437,429.89234,444.8858837,464.0961685,483.5950414,510.8032937,537.4498274,590.2322574,674.7681385,782.9417105,965.7100035,1176.545717,1360.642838,1406.878745,1449.496291,1523.276536,1620.526892,1760.249429,1876.647298,2000.663608,2083.951235,2245.480275,2450.367214,2566.712311,2654.135854,2772.310648,2997.258411,3464.095022,3794.932195,3931.730226,4105.298633,4105.765612,4065.487566,4097.306516,4271.470886,4410.388944,4667.885911,4585.674131,4922.373897,4917.232089,4831.783762,5030.265216,5171.541253,5219.414504,5360.019176,5700.219856,5913.069931,5982.661964,5031.983614,5428.296158,5684.357892,5566.681785,6067.998437,6291.271811,5869.737579,6166.239927,6287.834749,6418.706354,6485.568198,5810.898476,6398.013848,6641.569807,6708.039461
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,583.648968,601.5881673,568.5629995,553.8283402,554.2780247,548.1902908,540.13401,553.0932213,548.2533679,573.6965844,574.0636177,568.4887236,557.2944764,556.8854858,580.7094667,571.6697629,593.776778,610.1402434,611.2779909,590.1301465,557.8779777,543.4712302,579.0879675,526.1725964,569.5704495,585.0904821,598.8575834,562.3233812,562.9772821,560.0150989,531.3860052,512.25184,464.3354633,451.1999352,458.6545236,478.3438948,447.3506307,458.1338353,466.6341085,470.1683589,445.803293,455.3383802,461.4980856,426.1595808,442.0152361,436.1002651,447.8081065,459.7460664,459.5624572,488.388025,500.5292774,513.5942668,534.8835626,338.1657058,338.7003848,351.8797548,362.2183312,371.603131,378.2630778,381.4140464,375.2169241,370.980373,364.6907534,357.4114109
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15432.47178,15605.52322,16455.75352,17007.69074,17800.86413,18585.88146,19476.02704,19715.09362,20371.14406,21114.28705,21428.90916,21642.54078,22573.56628,23799.69553,24257.8168,24275.81275,25369.46343,25960.63922,26663.77071,27384.67793,27622.37338,28215.53085,26999.07907,27418.4916,28762.9722,29851.64328,30183.40878,31001.12984,31951.55048,32116.92334,31700.54627,30654.33314,30563.37882,31032.7546,32074.15624,32595.45152,32801.30185,33867.00791,34894.61343,36391.53533,37906.86012,38200.45611,38921.6673,39270.02345,40108.75874,41006.22293,41663.51231,42106.87243,42067.5687,40376.41537,41164.33991,42043.64196,42320.64313,42851.17053,43643.23565,43594.1941,43551.3426,44339.38867,44907.34368,45100.29149,42366.12852,44359.61673,45227.14474,44388.403
